Seconds,Doppler Shift
51840,-6.74E-08
60480,-2.70E-08
69120,1.87E-08
138240,1.88E-07
146880,2.23E-07
311040,-1.17E-07
319680,-1.42E-07
397440,-1.12E-07
406080,-9.17E-08
414720,-7.57E-08
483840,1.51E-07
492480,1.59E-07
501120,1.87E-07
570240,2.18E-07
578880,2.08E-07
665280,-7.54E-08
673920,-1.06E-07
743040,-1.47E-07
751680,-1.24E-07
760320,-1.18E-07
829440,8.37E-08
838080,1.19E-07
846720,1.37E-07
915840,2.04E-07
924480,1.90E-07
933120,1.70E-07
1010880,-8.34E-09
1019520,-1.53E-08
1088640,-1.28E-07
1097280,-1.62E-07
1183680,5.87E-08
1192320,9.01E-09
