Seconds,Doppler Shift
0.0,2.707472013252499e-07
22571827.20001191,6.577718703049129e-08
25158470.40001899,1.801200810724879e-08
28525132.800020278,-3.525683733851537e-08
32146243.20000708,-1.609072586283844e-07
32832950.39999485,-1.5550365695116142e-07
53681875.199997425,3.6761180877142863e-07
54281750.39999485,2.7131424640280954e-07
55057881.599995494,2.649433306078919e-07
57044131.200000644,3.499667056150457e-07
57301603.199999034,3.0717149490655515e-07
58943462.40000129,3.092395408632598e-07
60234278.39999646,2.883589473867687e-07
61184159.99999195,3.02768558224642e-07
62305459.20000225,3.2618417589169724e-07
65761372.800028324,3.0206809098487497e-07
68434848.00002575,3.462975917134514e-07
68944348.80001545,3.134423438577727e-07
70157059.20000225,3.437959230634391e-07
71881430.40001094,2.4202804804751565e-07
83488579.2000264,2.2151436751549625e-07
83920060.80002189,2.3732491150063595e-07
84094502.40000933,1.7785191697150537e-07
86251132.80002028,2.0580389059610127e-07
91854777.60000676,1.8769181209243868e-07
92121667.20001996,1.840226986349336e-07
92203747.19999582,1.9166112585899953e-07
93235363.20003122,1.0170113928786861e-07
93579408.0000177,1.7404938135179293e-07
93671078.39999646,1.8775852339558696e-07
93753504.00002897,1.9683124019564957e-07
93931142.40001738,2.1364245106347823e-07
94013308.8000074,1.7738493895969043e-07
102553257.60002285,6.874583302618475e-08
104540803.19999903,8.692462016846036e-08
115543065.60000032,-1.0023348395726828e-07
115714656.00000322,-7.338225216368954e-08
117613987.20000386,-1.246831142776017e-07
120636518.4000045,-2.171447396337456e-07
121832899.2000103,-2.735489953442638e-07
123487545.60001642,-3.1414271239871283e-07
130291113.60002607,1.284189541372882e-07
131325926.40002221,1.4392929648110453e-07
135298771.2000087,2.6064046099172344e-07
