time_jd,radial_velocity_ms,uncertainty_ms
2447047.8542999998,16.300000,7.900000
2447374.9402000001,-0.700000,7.100000
2447430.7577999998,11.800000,6.600000
2447846.8494000002,-5.300000,8.900000
2448113.9589000000,-1.700000,9.300000
2448199.7171999998,-11.300000,8.400000
2448645.6797000002,-1.000000,11.000000
2448845.9393000002,18.300000,7.200000
2448846.9827999999,29.500000,6.200000
2448905.8609000002,22.000000,7.000000
2448991.7371999999,-8.200000,7.000000
2449306.6776950001,-20.300000,6.000000
2449349.6461000000,4.300000,9.200000
2449588.9145340002,22.500000,6.300000
2449603.8885050002,6.200000,6.100000
2449622.8352000001,-13.000000,8.600000
2449680.6812000000,15.000000,4.600000
2450004.9286570000,-7.800000,3.300000
2450072.6959489998,-20.100000,3.400000
2450087.6784839998,9.600000,3.300000
2450121.6266879998,-2.200000,4.500000
2450124.6310830000,-10.600000,4.700000
2450125.6229889998,-13.300000,3.800000
2450126.6296890001,-5.500000,4.400000
2450127.6521729999,-8.400000,4.600000
2450128.6334759998,-13.500000,4.000000
2450298.9889529999,6.400000,2.300000
2450300.0058329999,-0.900000,2.800000
2450300.8810419999,5.300000,2.900000
2450304.9196870001,3.000000,2.800000
2450305.9109120001,-0.800000,3.400000
2450307.9208189999,1.100000,3.400000
2450308.8602510002,-2.400000,2.700000
2450309.9053699998,-2.200000,3.300000
2450310.8717370001,-1.800000,3.100000
2450311.8821020001,3.400000,2.100000
2450326.9068169999,12.600000,3.100000
2450421.6778070000,-6.300000,2.600000
2450437.7226740001,-13.100000,2.900000
2450441.6991099999,-13.900000,3.100000
2450640.9769910001,14.900000,3.400000
2450655.9739470002,10.000000,3.100000
2450656.9292589999,8.200000,3.200000
2450681.9732750002,0.700000,3.100000
2450767.7200349998,3.300000,3.700000
2450793.7082870002,3.500000,3.000000
2451046.9336230000,-0.300000,4.900000
2451130.6927310000,-32.400000,6.000000
2451175.6274540001,-5.400000,6.500000
2451825.7471869998,11.200000,5.300000
2451880.6674290001,-7.000000,4.000000
2452120.8944680002,-14.800000,5.200000
2452157.8475930002,9.100000,4.200000
2452158.8775120000,5.100000,4.100000
2452159.8442480001,3.600000,3.700000
2452160.8749879999,-0.700000,5.000000
2452161.8561109998,5.600000,3.900000
2452182.8050020002,-10.900000,4.600000
2452183.7948630000,-20.200000,5.000000
2452185.8023580001,-15.900000,3.000000
2452186.8001609999,-17.100000,3.100000
2452189.8282900001,-16.200000,3.000000
2452200.8221900002,9.500000,2.900000
2452201.8287000000,9.800000,3.000000
2452202.7631190000,9.200000,4.000000
2452203.7610300002,15.300000,3.000000
2452204.7685600002,10.800000,2.800000
2452214.7753019999,12.200000,3.200000
2452216.7280040001,4.900000,3.100000
2452218.7469299999,6.700000,3.000000
2452220.7346000001,-6.300000,3.300000
2452221.7922890000,2.100000,4.100000
2452241.6382370000,-19.400000,2.300000
2452474.9238419998,11.400000,3.300000
2452475.9247470000,8.600000,3.500000
2452476.9365119999,-4.000000,3.800000
2452477.9356869999,0.700000,3.400000
2452478.9146159999,3.400000,2.900000
2452491.8665109999,-13.900000,2.800000
2452493.9186430001,-26.500000,2.700000
2452508.9080030001,7.600000,2.600000
2452509.8432580000,10.300000,2.800000
2452510.9449410001,19.900000,4.200000
2452511.9611240001,7.700000,2.800000
2452512.9314959999,5.200000,2.200000
2452513.9345249999,5.500000,2.800000
2452514.9155120002,14.300000,3.500000
2452515.8691360001,7.600000,3.600000
2452516.9161550002,13.900000,5.100000
2452520.8843109999,6.700000,2.800000
2452522.8417260000,14.500000,3.800000
2452523.8772870000,1.400000,2.600000
2452524.8550000000,3.700000,3.300000
2452534.8692359999,-11.900000,3.800000
2452535.8962719999,-13.300000,2.400000
2452540.8729770002,-3.500000,2.400000
2452551.8223790000,-10.300000,2.800000
2452552.8113529999,-11.300000,2.300000
2452553.7732489998,-6.800000,2.300000
2452554.7671599998,-7.000000,2.600000
2452576.7613519998,16.300000,2.400000
2452581.7373050000,12.400000,3.300000
2452582.7878319998,3.600000,2.100000
2452583.7452779999,9.800000,2.500000
2452593.6985849999,6.300000,2.300000
2452594.7458270001,5.900000,2.500000
2452597.6844179998,2.800000,2.300000
2452599.7822349998,7.400000,2.500000
2452606.6667530001,13.400000,2.800000
2452608.7345480002,2.500000,2.900000
2452612.6367480000,-15.200000,3.500000
2452613.6344760000,-10.500000,2.000000
2452627.7473590001,-2.900000,2.000000
2452631.6398680001,15.400000,2.400000
2452893.9078469998,-2.600000,3.400000
2452894.9096300001,-2.900000,2.600000
2452895.8920890000,-6.500000,2.400000
2452896.8245350001,-11.000000,2.500000
2453010.6470019999,-3.700000,3.100000
2453219.9533319999,8.800000,3.400000
2453221.9361600000,1.000000,2.700000
