star_x_au,star_z_au,planet_x_au,planet_z_au
-7.814776994831275359e-03,-7.637788461344103066e-03,2.419591414592811685e+00,2.364792674156561691e+00
-7.773722409123467146e-03,-7.674943592065448794e-03,2.406880197986889680e+00,2.376296551408708879e+00
-7.732186154795622768e-03,-7.711623173884250664e-03,2.394019848365592562e+00,2.387653190416876292e+00
-7.690170325257159392e-03,-7.747824455056022755e-03,2.381011013885031335e+00,2.398861739192920783e+00
-7.647676996087193584e-03,-7.783544655814313325e-03,2.367854337180741009e+00,2.409921337072613134e+00
-7.604708225612914589e-03,-7.818780967636031198e-03,2.354550455546762233e+00,2.420831114488160463e+00
-7.561266055487811041e-03,-7.853530552497631906e-03,2.341100001114664764e+00,2.431590192737917100e+00
-7.517352511270118838e-03,-7.887790542121648346e-03,2.327503601032648639e+00,2.442197683753098314e+00
-7.472969603001994136e-03,-7.921558037213104544e-03,2.313761877644861631e+00,2.452652689861349877e+00
-7.428119325789800907e-03,-7.954830106685257390e-03,2.299875448671071965e+00,2.462954303547037593e+00
-7.382803660385997904e-03,-7.987603786874200584e-03,2.285844927386828207e+00,2.473101607208066266e+00
-7.337024573773097760e-03,-8.019876080741759200e-03,2.271670922804261306e+00,2.483093672909084226e+00
-7.290784019750143168e-03,-8.051643957066182203e-03,2.257354039853672667e+00,2.492929562130909105e+00
-7.244083939522213619e-03,-8.082904349620060463e-03,2.242894879566049493e+00,2.502608325515992327e+00
-7.196926262293400732e-03,-8.113654156334925566e-03,2.228294039256665027e+00,2.512129002609769568e+00
-7.149312905863831544e-03,-8.143890238451955213e-03,2.213552112709928021e+00,2.521490621597705317e+00
-7.101245777231183880e-03,-8.173609419658240532e-03,2.198669690365617324e+00,2.530692199037857026e+00
-7.052726773197251497e-03,-8.202808485207959549e-03,2.183647359506689867e+00,2.539732739588785204e+00
-7.003757780980107185e-03,-8.231484181027910393e-03,2.168485704448812168e+00,2.548611235732606062e+00
-6.954340678832394637e-03,-8.259633212806760660e-03,2.153185306731801862e+00,2.557326667493006855e+00
-6.904477336666342384e-03,-8.287252245067379744e-03,2.137746745313134689e+00,2.565878002148027637e+00
-6.854169616686072233e-03,-8.314337900221593219e-03,2.122170596763725214e+00,2.574264193937390033e+00
-6.803419374027815450e-03,-8.340886757606701812e-03,2.106457435466142059e+00,2.582484183764195418e+00
-6.752228457408643823e-03,-8.366895352503100555e-03,2.090607833815474326e+00,2.590536898890752671e+00
-6.700598709784391302e-03,-8.392360175132245262e-03,2.074622362423026445e+00,2.598421252628340117e+00
-6.648531969017386356e-03,-8.417277669634289777e-03,2.058501590323067454e+00,2.606136144020657852e+00
-6.596030068554714978e-03,-8.441644233024611643e-03,2.042246085182830129e+00,2.613680457520754175e+00
-6.543094838117718623e-03,-8.465456214128504533e-03,2.025856413515990884e+00,2.621053062661187205e+00
-6.489728104403443519e-03,-8.488709912493222140e-03,2.009333140899852044e+00,2.628252813717169456e+00
-6.435931691798821991e-03,-8.511401577276546046e-03,1.992676832196465853e+00,2.635278549362456424e+00
-6.381707423108375077e-03,-8.533527406111096961e-03,1.975888051777938914e+00,2.642129092317710537e+00
-6.327057120296235293e-03,-8.555083543943473381e-03,1.958967363756180635e+00,2.648803248991086434e+00
-6.271982605243369910e-03,-8.576066081847374609e-03,1.941915332217352130e+00,2.655299809110745368e+00
-6.216485700520866034e-03,-8.596471055809773096e-03,1.924732521461286483e+00,2.661617545349036273e+00
-6.160568230180199500e-03,-8.616294445489166426e-03,1.907419496246170132e+00,2.667755212938029086e+00
-6.104232020561461622e-03,-8.635532172945013796e-03,1.889976822038785587e+00,2.673711549276127197e+00
-6.047478901120515241e-03,-8.654180101337260664e-03,1.872405065270614788e+00,2.679485273525413991e+00
-5.990310705276137397e-03,-8.672234033594981850e-03,1.854704793600123303e+00,2.685075086199443017e+00
-5.932729271278212868e-03,-8.689689711053022458e-03,1.836876576181575516e+00,2.690479668741121433e+00
-5.874736443098126960e-03,-8.706542812055580172e-03,1.818920983940709224e+00,2.695697683090350516e+00
-5.816334071342512020e-03,-8.722788950525516352e-03,1.800838589857652661e+00,2.700727771241060005e+00
-5.757524014191594923e-03,-8.738423674498287455e-03,1.782629969257450320e+00,2.705568554787291191e+00
-5.698308138363417964e-03,-8.753442464619204388e-03,1.764295700108603926e+00,2.710218634457918441e+00
-5.638688320105289704e-03,-8.767840732602800308e-03,1.745836363330041330e+00,2.714676589639641868e+00
-5.578666446213838802e-03,-8.781613819652953762e-03,1.727252543106946092e+00,2.718940977887832844e+00
-5.518244415085189584e-03,-8.794756994842450534e-03,1.708544827215905615e+00,2.723010334424817547e+00
-5.457424137796739946e-03,-8.807265453450551299e-03,1.689713807359853215e+00,2.726883171625158031e+00
-5.396207539222193025e-03,-8.819134315257099246e-03,1.670760079513299079e+00,2.730557978487478721e+00
-5.334596559181525345e-03,-8.830358622791703582e-03,1.651684244278378566e+00,2.734033220092381811e+00
-5.272593153627623541e-03,-8.840933339536380386e-03,1.632486907252260533e+00,2.737307337045955080e+00
-5.210199295871505674e-03,-8.850853348080067046e-03,1.613168679406491002e+00,2.740378744908375630e+00
-5.147416977848003235e-03,-8.860113448223311955e-03,1.593730177478877463e+00,2.743245833607092177e+00
-5.084248211424020197e-03,-8.868708355031415178e-03,1.574172024378541757e+00,2.745906966834037455e+00
-5.020695029751443862e-03,-8.876632696834202071e-03,1.554494849604811435e+00,2.748360481426328494e+00
-4.956759488667022463e-03,-8.883881013170537300e-03,1.534699289680641066e+00,2.750604686729851256e+00
-4.892443668141528874e-03,-8.890447752675693580e-03,1.514785988601301536e+00,2.752637863945151864e+00
-4.827749673780738771e-03,-8.896327270909502177e-03,1.494755598299106758e+00,2.754458265454994059e+00
-4.762679638380813187e-03,-8.901513828123201744e-03,1.474608779124990443e+00,2.756064114132936282e+00
-4.697235723540866235e-03,-8.906001586962851782e-03,1.454346200347782725e+00,2.757453602632270684e+00
-4.631420121335607168e-03,-8.909784610107019179e-03,1.433968540672091008e+00,2.758624892654607308e+00
-4.565235056051122897e-03,-8.912856857836395919e-03,1.413476488775726292e+00,2.759576114197385799e+00
-4.498682785987003288e-03,-8.915212185532959271e-03,1.392870743867673511e+00,2.760305364779574777e+00
-4.431765605328222279e-03,-8.916844341106098387e-03,1.372152016267662367e+00,2.760810708644750644e+00
-4.364485846090357044e-03,-8.917746962343146844e-03,1.351321028008434455e+00,2.761090175940774660e+00
-4.296845880141897389e-03,-8.917913574181514369e-03,1.330378513461891288e+00,2.761141761875210321e+00
-4.228848121307656090e-03,-8.917337585899709831e-03,1.309325219990342903e+00,2.760963425845597730e+00
-4.160495027557467758e-03,-8.916012288224197183e-03,1.288161908624171126e+00,2.760553090543699017e+00
-4.091789103284635375e-03,-8.913930850349133586e-03,1.266889354767271492e+00,2.759908641032746690e+00
-4.022732901678794347e-03,-8.911086316865738863e-03,1.245508348931737563e+00,2.759027923796733006e+00
-3.953329027198185762e-03,-8.907471604598087012e-03,1.224019697503318183e+00,2.757908745760709213e+00
-3.883580138146553850e-03,-8.903079499341820871e-03,1.202424223539270809e+00,2.756548873281037704e+00
-3.813488949360249562e-03,-8.897902652502311799e-03,1.180722767600334011e+00,2.754946031104501092e+00
-3.743058235011373705e-03,-8.891933577628482674e-03,1.158916188618631660e+00,2.753097901295124217e+00
-3.672290831533215477e-03,-8.885164646838555891e-03,1.137005364803437057e+00,2.751002122127515825e+00
-3.601189640674534991e-03,-8.877588087133682707e-03,1.114991194586836931e+00,2.748656286945502014e+00
-3.529757632689704133e-03,-8.869195976595307951e-03,1.092874597611448229e+00,2.746057942984772016e+00
-3.457997849672055785e-03,-8.859980240462002679e-03,1.070656515762486327e+00,2.743204590158191625e+00
-3.385913409038319218e-03,-8.849932647081303061e-03,1.048337914246604718e+00,2.740093679802420912e+00
-3.313507507172440587e-03,-8.839044803731863076e-03,1.025919782720087436e+00,2.736722613384382274e+00
-3.240783423237623886e-03,-8.827308152311162670e-03,1.003403136469120716e+00,2.733088741166098234e+00
-3.167744523165959888e-03,-8.814713964883740677e-03,9.807890176450535513e-01,2.729189360826348665e+00
-3.094394263835601247e-03,-8.801253339084765676e-03,9.580784965577242573e-01,2.725021716037535846e+00
-3.020736197446061665e-03,-8.786917193373581028e-03,9.352726730301280655e-01,2.720582994996094239e+00
-2.946773976102886640e-03,-8.771696262131582766e-03,9.123726778179136465e-01,2.715870328904713915e+00
-2.872511356623659758e-03,-8.755581090598712687e-03,8.893796740974038162e-01,2.710880790404587071e+00
-2.797952205578064806e-03,-8.738562029642482978e-03,8.662948590260881598e-01,2.705611391955807576e+00
-2.723100504575552347e-03,-8.720629230353353287e-03,8.431194653797779992e-01,2.700059084164005530e+00
-2.647960355815053186e-03,-8.701772638460000125e-03,8.198547632708909072e-01,2.694220754051218414e+00
-2.572535987912081927e-03,-8.681981988557808602e-03,7.965020619526292922e-01,2.688093223268929854e+00
-2.496831762019651943e-03,-8.661246798143677067e-03,7.730627117141172233e-01,2.681673246251139009e+00
-2.420852178260443112e-03,-8.639556361449991090e-03,7.495381058719147171e-01,2.674957508305254805e+00
-2.344601882488889667e-03,-8.616899743070390721e-03,7.259296828636776500e-01,2.667942623638520860e+00
-2.268085673403064193e-03,-8.593265771369757236e-03,7.022389284501222573e-01,2.660625133317632507e+00
-2.191308510027638063e-03,-8.568643031670510751e-03,6.784673780318777325e-01,2.653001503159094110e+00
-2.114275519590591568e-03,-8.543019859207185221e-03,6.546166190882550806e-01,2.645068121547834661e+00
