star_x_au,star_z_au,planet_x_au,planet_z_au
-7.205993792119956434e-06,2.653225425085589960e-05,1.280164317276236835e-02,-4.713526840113194810e-02
-7.615587125925421793e-06,2.641274505237995010e-05,1.352929682562196631e-02,-4.692295707268966803e-02
-8.023334427970972037e-06,2.628683338844322866e-05,1.425367095305346381e-02,-4.669927159092178426e-02
-8.429135860579285372e-06,2.615454650590836881e-05,1.497458819071862714e-02,-4.646426036061786918e-02
-8.832891947201757603e-06,2.601591320059853872e-05,1.569187181583416371e-02,-4.621797453833784153e-02
-9.234503596181894581e-06,2.587096381387795903e-05,1.640534578938804278e-02,-4.596046802633711736e-02
-9.633872124536880282e-06,2.571973022887775098e-05,1.711483479838810107e-02,-4.569179746586183449e-02
-1.003089928175249073e-05,2.556224586636465188e-05,1.782016429813432917e-02,-4.541202222980940395e-02
-1.042548727358628514e-05,2.539854568025009379e-05,1.852116055450593601e-02,-4.512120441475035715e-02
-1.081753878587401239e-05,2.522866615273727738e-05,1.921765068625398698e-02,-4.481940883230693673e-02
-1.120695700833395579e-05,2.505264528910394018e-05,1.990946270729056569e-02,-4.450670299988455231e-02
-1.159364565836395616e-05,2.487052261211848849e-05,2.059642556896476573e-02,-4.418315713075188916e-02
-1.197750900482564467e-05,2.468233915608731739e-05,2.127836920231604076e-02,-4.384884412346584659e-02
-1.235845189181037294e-05,2.448813746053119485e-05,2.195512456029501819e-02,-4.350383955063737845e-02
-1.273637976238117394e-05,2.428796156348861585e-05,2.262652365994175657e-02,-4.314822164703480817e-02
-1.311119868228505795e-05,2.408185699444411742e-05,2.329239962451125009e-02,-4.278207129702078088e-02
-1.348281536362973325e-05,2.386987076687976567e-05,2.395258672553580645e-02,-4.240547202131969562e-02
-1.385113718851888481e-05,2.365205137044780904e-05,2.460692042481372674e-02,-4.201850996311229380e-02
-1.421607223263987346e-05,2.342844876276291207e-05,2.525523741631350086e-02,-4.162127387345434387e-02
-1.457752928879777388e-05,2.319911436081225880e-05,2.589737566798264515e-02,-4.121385509601637603e-02
-1.493541789038942728e-05,2.296410103198199081e-05,2.653317446345002453e-02,-4.079634755114197597e-02
-1.528964833481122749e-05,2.272346308469850966e-05,2.716247444361040431e-02,-4.036884771922179954e-02
-1.564013170679412812e-05,2.247725625868334919e-05,2.778511764807971643e-02,-3.993145462338105328e-02
-1.598677990165935567e-05,2.222553771482030680e-05,2.840094755650950445e-02,-3.948426981147823422e-02
-1.632950564848818770e-05,2.196836602463376616e-05,2.900980912974857745e-02,-3.902739733741304728e-02
-1.666822253319901826e-05,2.170580115937721199e-05,2.961154885084013241e-02,-3.856094374174183492e-02
-1.700284502152493916e-05,2.143790447873095779e-05,3.020601476584198683e-02,-3.808501803159881904e-02
-1.733328848188486288e-05,2.116473871910838501e-05,3.079305652445777503e-02,-3.759973165992182981e-02
-1.765946920814121752e-05,2.088636798157004665e-05,3.137252542046661818e-02,-3.710519850398136255e-02
-1.798130444223710223e-05,2.060285771934512375e-05,3.194427443193861849e-02,-3.660153484321208850e-02
-1.829871239670573376e-05,2.031427472495979744e-05,3.250815826122349650e-02,-3.608885933634610466e-02
-1.861161227704491328e-05,2.002068711697240131e-05,3.306403337469951409e-02,-3.556729299784751330e-02
-1.891992430394920849e-05,1.972216432631513375e-05,3.361175804226944341e-02,-3.503695917364819251e-02
-1.922356973539243128e-05,1.941877708224250975e-05,3.415119237659073465e-02,-3.449798351618472286e-02
-1.952247088855287548e-05,1.911059739788661672e-05,3.468219837202628913e-02,-3.395049395873701858e-02
-1.981655116157385752e-05,1.879769855541963154e-05,3.520463994330268881e-02,-3.339462068906905168e-02
-2.010573505515184870e-05,1.848015509082403266e-05,3.571838296386201789e-02,-3.283049612237280701e-02
-2.038994819394460609e-05,1.815804277827123562e-05,3.622329530389405139e-02,-3.225825487351640514e-02
-2.066911734779146542e-05,1.783143861410940422e-05,3.671924686803465510e-02,-3.167803372859809286e-02
-2.094317045273808465e-05,1.750042080046153835e-05,3.720610963271683835e-02,-3.108997161580777727e-02
-2.121203663185776734e-05,1.716506872843487206e-05,3.768375768316035990e-02,-3.049420957559807049e-02
-2.147564621586142773e-05,1.682546296094306572e-05,3.815206724998589788e-02,-2.989089073016744369e-02
-2.173393076348830293e-05,1.648168521514260513e-05,3.861091674543970509e-02,-2.928016025225796751e-02
-2.198682308166944010e-05,1.613381834448514242e-05,3.906018679921464953e-02,-2.866216533327091420e-02
-2.223425724545590839e-05,1.578194632038763863e-05,3.949976029385311033e-02,-2.803705515070320162e-02
-2.247616861770371585e-05,1.542615421352242581e-05,3.992952239971785111e-02,-2.740498083490869319e-02
-2.271249386850733717e-05,1.506652817472939066e-05,4.034936060951618136e-02,-2.676609543518814263e-02
-2.294317099437381217e-05,1.470315541555270069e-05,4.075916477236326413e-02,-2.612055388521219643e-02
-2.316813933712921913e-05,1.433612418840475292e-05,4.115882712736997073e-02,-2.546851296778214827e-02
-2.338733960254949990e-05,1.396552376636021471e-05,4.154824233674107165e-02,-2.481013127893342413e-02
-2.360071387870742729e-05,1.359144442258308774e-05,4.192730751836908770e-02,-2.414556919138726929e-02
