time_days,model_velocity_ms
0.000000000000000000e+00,-1.731697448890028568e+02
2.628665139069599199e+00,-1.650491238900503106e+02
5.257330278139198398e+00,-1.549787277190614248e+02
7.885995417208797598e+00,-1.427170974692522520e+02
1.051466055627839680e+01,-1.279568586677624609e+02
1.314332569534799688e+01,-1.103091043534435016e+02
1.577199083441759520e+01,-8.928400380281729554e+01
1.840065597348719351e+01,-6.426815923341308689e+01
2.102932111255679359e+01,-3.450160656960206751e+01
2.365798625162639368e+01,9.366693681747457756e-01
2.628665139069599377e+01,4.311167591498442420e+01
2.891531652976559030e+01,9.312903102052212034e+01
3.154398166883519039e+01,1.518252148838621167e+02
3.417264680790479048e+01,2.190211029214150074e+02
3.680131194697438701e+01,2.920188365553933636e+02
3.942997708604399065e+01,3.633353620010847749e+02
4.205864222511358719e+01,4.192861574165605703e+02
4.468730736418318372e+01,4.436337564746523867e+02
4.731597250325278736e+01,4.278894017900575477e+02
4.994463764232238390e+01,3.784588364178239317e+02
5.257330278139198754e+01,3.109245951969338080e+02
5.520196792046158407e+01,2.394933153321260306e+02
5.783063305953118061e+01,1.724482333082295611e+02
6.045929819860078425e+01,1.131062714464028431e+02
6.308796333767038078e+01,6.202901946618973739e+01
6.571662847673998442e+01,1.859485516677365524e+01
6.834529361580958096e+01,-1.818620595488262737e+01
7.097395875487917749e+01,-4.931851507529705714e+01
7.360262389394877403e+01,-7.569224144640482166e+01
7.623128903301837056e+01,-9.805261156077314411e+01
7.885995417208798131e+01,-1.170070074864313909e+02
8.148861931115757784e+01,-1.330439678194645410e+02
8.411728445022717437e+01,-1.465536481316428592e+02
8.674594958929677091e+01,-1.578460115256123686e+02
8.937461472836636744e+01,-1.671657835644883789e+02
9.200327986743597819e+01,-1.747042567997264086e+02
9.463194500650557472e+01,-1.806083619836212790e+02
9.726061014557517126e+01,-1.849874672555413326e+02
9.988927528464476779e+01,-1.879183062028699851e+02
1.025179404237143643e+02,-1.894483453915478037e+02
1.051466055627839751e+02,-1.895978096232101109e+02
1.077752707018535716e+02,-1.883604968157911514e+02
1.104039358409231681e+02,-1.857034337953895715e+02
1.130326009799927647e+02,-1.815653459282780204e+02
1.156612661190623612e+02,-1.758538327748316021e+02
1.182899312581319577e+02,-1.684410542084283406e+02
1.209185963972015685e+02,-1.591576335507558042e+02
1.235472615362711650e+02,-1.477843775505877488e+02
1.261759266753407616e+02,-1.340413105618045790e+02
1.288045918144103723e+02,-1.175734641780995560e+02
1.314332569534799688e+02,-9.793296533291619710e+01
1.340619220925495654e+02,-7.455749953335299551e+01
1.366905872316191619e+02,-4.674684145208154007e+01
1.393192523706887584e+02,-1.364334699136060181e+01
1.419479175097583550e+02,2.576752840207268136e+01
1.445765826488279515e+02,7.259728097433320215e+01
1.472052477878975481e+02,1.278455971304316279e+02
1.498339129269671446e+02,1.918601117687600208e+02
1.524625780660367411e+02,2.631642107235767867e+02
1.550912432051063661e+02,3.364270460769672582e+02
1.577199083441759626e+02,4.003433597566940421e+02
1.603485734832455591e+02,4.387358700963433193e+02
1.629772386223151557e+02,4.387222613226159069e+02
1.656059037613847522e+02,4.008432289480052191e+02
1.682345689004543487e+02,3.384267287950999048e+02
1.708632340395239453e+02,2.671901749353220339e+02
1.734918991785935418e+02,1.978142513573177723e+02
1.761205643176631384e+02,1.352895121997208605e+02
1.787492294567327349e+02,8.101821228771923700e+01
1.813778945958023314e+02,3.470809063404615813e+01
1.840065597348719564e+02,-4.548008310748441474e+00
1.866352248739415529e+02,-3.777274153421561920e+01
1.892638900130111494e+02,-6.590807030505193609e+01
1.918925551520807460e+02,-8.975624681286936379e+01
1.945212202911503425e+02,-1.099765402013199349e+02
1.971498854302199391e+02,-1.271014178065488380e+02
1.997785505692895356e+02,-1.415571268929997188e+02
2.024072157083591321e+02,-1.536829852071253697e+02
2.050358808474287287e+02,-1.637476244513654819e+02
2.076645459864983252e+02,-1.719619844436167284e+02
2.102932111255679501e+02,-1.784893957456894213e+02
2.129218762646375467e+02,-1.834532139458859774e+02
2.155505414037071432e+02,-1.869424362911312301e+02
2.181792065427767398e+02,-1.890156476825355298e+02
2.208078716818463363e+02,-1.897035498193014860e+02
2.234365368209159328e+02,-1.890102383103799752e+02
2.260652019599855294e+02,-1.869133100204070388e+02
2.286938670990551259e+02,-1.833628041982345280e+02
2.313225322381247224e+02,-1.782789016952366694e+02
2.339511973771943190e+02,-1.715482220701192091e+02
2.365798625162639155e+02,-1.630184646402233568e+02
2.392085276553335405e+02,-1.524910355954909278e+02
2.418371927944031370e+02,-1.397111963115617925e+02
2.444658579334727335e+02,-1.243551856594083915e+02
2.470945230725423301e+02,-1.060137885873108843e+02
2.497231882116119266e+02,-8.417213849666021019e+01
2.523518533506815231e+02,-5.818661732115975127e+01
2.549805184897511197e+02,-2.726264186036756954e+01
2.576091836288207446e+02,9.555626107151608650e+00
2.602378487678903412e+02,5.335562330853095858e+01
2.628665139069599377e+02,1.052212306583688246e+02
2.654951790460295342e+02,1.658516252869787593e+02
2.681238441850991308e+02,2.346764955173868827e+02
2.707525093241687273e+02,3.081577080278927383e+02
2.733811744632383238e+02,3.774785045779290726e+02
2.760098396023079204e+02,4.278164842059165949e+02
2.786385047413775169e+02,4.436252124835136215e+02
2.812671698804471134e+02,4.194674375859513020e+02
2.838958350195167100e+02,3.646490555215601148e+02
2.865245001585863065e+02,2.952352083887033700e+02
2.891531652976559030e+02,2.242629578878581071e+02
2.917818304367254996e+02,1.587484958090276166e+02
2.944104955757950961e+02,1.012274149880032610e+02
2.970391607148646926e+02,5.189800294850410012e+01
2.996678258539342892e+02,1.000900438093213829e+01
3.022964909930038857e+02,-2.545234549410090352e+01
3.049251561320734822e+02,-5.547161983333221258e+01
3.075538212711430788e+02,-8.090795645794877089e+01
3.101824864102127322e+02,-1.024751264724692703e+02
3.128111515492823287e+02,-1.207527194233035175e+02
3.154398166883519252e+02,-1.362060322637982779e+02
3.180684818274215218e+02,-1.492062156373400512e+02
3.206971469664911183e+02,-1.600477850062838741e+02
3.233258121055607148e+02,-1.689628599986395159e+02
3.259544772446303114e+02,-1.761323306081527846e+02
3.285831423836999079e+02,-1.816943927302554016e+02
3.312118075227695044e+02,-1.857509063576287645e+02
3.338404726618391010e+02,-1.883719586857924071e+02
3.364691378009086975e+02,-1.895989222058881580e+02
3.390978029399782940e+02,-1.894462065505616124e+02
3.417264680790478906e+02,-1.879018179402680460e+02
3.443551332181174871e+02,-1.849267603219136902e+02
3.469837983571870836e+02,-1.804532338215323648e+02
3.496124634962566802e+02,-1.743815042259204802e+02
3.522411286353262767e+02,-1.665752274261721766e+02
3.548697937743958732e+02,-1.568549125651337874e+02
3.574984589134654698e+02,-1.449891000782659773e+02
3.601271240525350663e+02,-1.306827333447162971e+02
3.627557891916046628e+02,-1.135621679222789595e+02
3.653844543306743162e+02,-9.315642666426595042e+01
3.680131194697439128e+02,-6.887500430402697305e+01
3.706417846088135093e+02,-3.998453400339338515e+01
3.732704497478831058e+02,-5.591752669088319472e+00
