generation,stage,stage_code,chi2,rms_ms,K_ms,P_days,e,rel_err_K,rel_err_P
37,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
38,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
39,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
40,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
41,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
42,de,0,4.0247757434e+02,4.6015019521e+00,3.2247491566e+01,1.4433434677e+02,3.3181274390e-01,5.7102605393e-02,2.1462055827e-02
43,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
44,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
45,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
46,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
47,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
48,de,0,3.0712108443e+02,4.0196069036e+00,3.1527191339e+01,1.4759224098e+02,1.6296070197e-01,3.3490497617e-02,6.2536258623e-04
49,de,0,2.3745757208e+02,3.5344494818e+00,2.7101902182e+01,1.4708965306e+02,1.7747680673e-01,1.1157457476e-01,2.7820131427e-03
50,de,0,2.3745757208e+02,3.5344494818e+00,2.7101902182e+01,1.4708965306e+02,1.7747680673e-01,1.1157457476e-01,2.7820131427e-03
51,de,0,1.6609010902e+02,2.9559742888e+00,3.1850007359e+01,1.4670203832e+02,3.1314690412e-01,4.4072705385e-02,5.4099097059e-03
52,de,0,1.6609010902e+02,2.9559742888e+00,3.1850007359e+01,1.4670203832e+02,3.1314690412e-01,4.4072705385e-02,5.4099097059e-03
53,de,0,1.6609010902e+02,2.9559742888e+00,3.1850007359e+01,1.4670203832e+02,3.1314690412e-01,4.4072705385e-02,5.4099097059e-03
54,de,0,1.6609010902e+02,2.9559742888e+00,3.1850007359e+01,1.4670203832e+02,3.1314690412e-01,4.4072705385e-02,5.4099097059e-03
55,de,0,1.6609010902e+02,2.9559742888e+00,3.1850007359e+01,1.4670203832e+02,3.1314690412e-01,4.4072705385e-02,5.4099097059e-03
56,de,0,1.6609010902e+02,2.9559742888e+00,3.1850007359e+01,1.4670203832e+02,3.1314690412e-01,4.4072705385e-02,5.4099097059e-03
57,de,0,1.6609010902e+02,2.9559742888e+00,3.1850007359e+01,1.4670203832e+02,3.1314690412e-01,4.4072705385e-02,5.4099097059e-03
58,de,0,1.1951037527e+02,2.5074459037e+00,3.2612706045e+01,1.4706580237e+02,2.5588220965e-01,6.9074673881e-02,2.9437127492e-03
59,de,0,1.1951037527e+02,2.5074459037e+00,3.2612706045e+01,1.4706580237e+02,2.5588220965e-01,6.9074673881e-02,2.9437127492e-03
60,de,0,1.1951037527e+02,2.5074459037e+00,3.2612706045e+01,1.4706580237e+02,2.5588220965e-01,6.9074673881e-02,2.9437127492e-03
61,de,0,1.1951037527e+02,2.5074459037e+00,3.2612706045e+01,1.4706580237e+02,2.5588220965e-01,6.9074673881e-02,2.9437127492e-03
62,de,0,1.1951037527e+02,2.5074459037e+00,3.2612706045e+01,1.4706580237e+02,2.5588220965e-01,6.9074673881e-02,2.9437127492e-03
