star_x_au,star_z_au,planet_x_au,planet_z_au
1.072433049442765877e-03,-1.051556110895319508e-02,-2.519698628950901576e-01,2.470647927406384614e+00
1.246717864466264682e-03,-1.048642585069636118e-02,-2.929183593713831635e-01,2.463802551807225516e+00
1.420663972918996196e-03,-1.045444183561703225e-02,-3.337872761963009971e-01,2.456287856229202315e+00
1.594223049739429019e-03,-1.041960987371093675e-02,-3.745652593192247970e-01,2.448104030982109158e+00
1.767346619420824463e-03,-1.038193164043860542e-02,-4.152409193421937039e-01,2.439251469718083598e+00
1.939986072624199503e-03,-1.034140968522225326e-02,-4.558028354231464796e-01,2.429730771427956793e+00
2.112092683163558585e-03,-1.029804743961162602e-02,-4.962395592666292710e-01,2.419542742359838350e+00
2.283617625357564282e-03,-1.025184922510316739e-02,-5.365396192005974507e-01,2.408688397856242336e+00
2.454511991741160481e-03,-1.020282026059697762e-02,-5.766915243377918054e-01,2.397168964106106248e+00
2.624726811129991701e-03,-1.015096666947596163e-02,-6.166837688200009771e-01,2.384985879808051212e+00
2.794213067029782584e-03,-1.009629548629166138e-02,-6.565048361433757362e-01,2.372140797741232099e+00
2.962921716382162663e-03,-1.003881466304143259e-02,-6.961432035627898030e-01,2.358635586240166226e+00
3.130803708637714192e-03,-9.978533075021609952e-03,-7.355873465730836669e-01,2.344472330569944862e+00
3.297810005146356409e-03,-9.915460526241598113e-03,-7.748257434648657682e-01,2.329653334198282799e+00
3.463891598854443223e-03,-9.849607754383905844e-03,-8.138468799523779218e-01,2.314181119960885713e+00
3.628999534297283440e-03,-9.780986435295433573e-03,-8.526392538707687763e-01,2.298058431116685618e+00
3.793084927875073602e-03,-9.709609186995545038e-03,-8.911913799399582281e-01,2.281288232289544915e+00
3.956098988399541806e-03,-9.635489573186783313e-03,-9.294917945921031821e-01,2.263873710293103692e+00
4.117993037897909117e-03,-9.558642106254299636e-03,-9.675290608595219499e-01,2.245818274835501782e+00
4.278718532660077435e-03,-9.479082249740623800e-03,-1.005291773319765269e+00,2.227125559100827434e+00
4.438227084514279573e-03,-9.396826420282586995e-03,-1.042768563094363499e+00,2.207799420204200835e+00
4.596470482315766388e-03,-9.311891988997766587e-03,-1.079948102897628104e+00,2.187843939517523761e+00
4.753400713632381126e-03,-9.224297282308287216e-03,-1.116819112131713032e+00,2.167263422863031419e+00
4.908969986610342909e-03,-9.134061582190216785e-03,-1.153370362024014995e+00,2.146062400571890016e+00
