time_days,radial_velocity_ms,uncertainty_ms
0.000000000000000000e+00,8.116795798952122709e+01,1.000000000000000000e+00
2.612480000001378357e+02,1.971950391549249915e+01,1.000000000000000000e+00
2.911860000002197921e+02,5.399864120009294055e+00,1.000000000000000000e+00
3.301520000002346933e+02,-1.056973411661502205e+01,1.000000000000000000e+00
3.720630000000819564e+02,-4.823878645867023351e+01,1.000000000000000000e+00
3.800109999999403954e+02,-4.661882716685727246e+01,1.000000000000000000e+00
6.213179999999701977e+02,1.102072274976690522e+02,1.000000000000000000e+00
6.282609999999403954e+02,8.133795380153874532e+01,1.000000000000000000e+00
6.372439999999478459e+02,7.942800178735748773e+01,1.000000000000000000e+00
6.602330000000074506e+02,1.049173605494817139e+02,1.000000000000000000e+00
6.632129999999888241e+02,9.208768334440576098e+01,1.000000000000000000e+00
6.822160000000149012e+02,9.270766774255976372e+01,1.000000000000000000e+00
6.971559999999590218e+02,8.644782514344932167e+01,1.000000000000000000e+00
7.081499999999068677e+02,9.076771653981373333e+01,1.000000000000000000e+00
7.211280000000260770e+02,9.778753989739080055e+01,1.000000000000000000e+00
7.611270000003278255e+02,9.055772180470073351e+01,1.000000000000000000e+00
7.920700000002980232e+02,1.038173882407087234e+02,1.000000000000000000e+00
7.979670000001788139e+02,9.396763596433504517e+01,1.000000000000000000e+00
8.120030000000260770e+02,1.030674070983080810e+02,1.000000000000000000e+00
8.319610000001266599e+02,7.255817465487463380e+01,1.000000000000000000e+00
9.663030000003054738e+02,6.640832936507166551e+01,1.000000000000000000e+00
9.712970000002533197e+02,7.114821013221028068e+01,1.000000000000000000e+00
9.733160000001080334e+02,5.331865859235117711e+01,1.000000000000000000e+00
9.982770000002346933e+02,6.169844788716331152e+01,1.000000000000000000e+00
1.063134000000078231e+03,5.626858442461293919e+01,1.000000000000000000e+00
1.066223000000230968e+03,5.516861209168045121e+01,1.000000000000000000e+00
1.067172999999951571e+03,5.745855450354659411e+01,1.000000000000000000e+00
1.079113000000361353e+03,3.048923299205211634e+01,1.000000000000000000e+00
1.083095000000204891e+03,5.217868729374058745e+01,1.000000000000000000e+00
1.084155999999959022e+03,5.628858396265129471e+01,1.000000000000000000e+00
1.085110000000335276e+03,5.900851548607667496e+01,1.000000000000000000e+00
1.087166000000201166e+03,6.404838871044032089e+01,1.000000000000000000e+00
1.088117000000085682e+03,5.317866215608913194e+01,1.000000000000000000e+00
1.186959000000264496e+03,2.060948154231811102e+01,1.000000000000000000e+00
1.209962999999988824e+03,2.605934440746445802e+01,1.000000000000000000e+00
1.337304000000003725e+03,-3.004924404362909485e+01,1.000000000000000000e+00
1.339290000000037253e+03,-2.199944654864778215e+01,1.000000000000000000e+00
1.361273000000044703e+03,-3.737905963105895069e+01,1.000000000000000000e+00
1.396256000000052154e+03,-6.509836229956060549e+01,1.000000000000000000e+00
1.410103000000119209e+03,-8.200793691428339116e+01,1.000000000000000000e+00
1.429254000000189990e+03,-9.417763070342694220e+01,1.000000000000000000e+00
1.507999000000301749e+03,3.849903143359125579e+01,1.000000000000000000e+00
1.519976000000257045e+03,4.314891445526708225e+01,1.000000000000000000e+00
1.565958000000100583e+03,7.813803427382254085e+01,1.000000000000000000e+00
