phase,model_velocity_ms
0.000000000000000000e+00,6.038025606071460771e+01
2.506265664160400863e-03,5.940851243766435630e+01
5.012531328320801727e-03,5.842149402430230509e+01
7.518796992481202590e-03,5.741946491861425272e+01
1.002506265664160345e-02,5.640269349738053251e+01
1.253132832080200432e-02,5.537145232840855158e+01
1.503759398496240518e-02,5.432601808114061726e+01
1.754385964912280604e-02,5.326667143568482743e+01
2.005012531328320691e-02,5.219369699031728516e+01
2.255639097744360777e-02,5.110738316750543930e+01
2.506265664160400863e-02,5.000802211850313483e+01
2.756892230576440950e-02,4.889590962656825468e+01
3.007518796992481036e-02,4.777134500885621549e+01
3.258145363408521122e-02,4.663463101704150660e+01
3.508771929824561209e-02,4.548607373672203380e+01
3.759398496240601295e-02,4.432598248566013410e+01
4.010025062656641381e-02,4.315466971091620962e+01
4.260651629072681468e-02,4.197245088493055221e+01
4.511278195488721554e-02,4.077964440060959106e+01
4.761904761904761640e-02,3.957657146547430216e+01
5.012531328320801727e-02,3.836355599492696200e+01
5.263157894736841813e-02,3.714092450469542683e+01
5.513784461152881899e-02,3.590900600251170260e+01
5.764411027568921986e-02,3.466813187908403648e+01
6.015037593984962072e-02,3.341863579842103604e+01
6.265664160401002158e-02,3.216085358756591006e+01
6.516290726817042245e-02,3.089512312580064446e+01
6.766917293233082331e-02,2.962178423337802258e+01
7.017543859649122417e-02,2.834117855984134948e+01
7.268170426065162504e-02,2.705364947198960124e+01
7.518796992481202590e-02,2.575954194154765631e+01
7.769423558897242676e-02,2.445920243259976701e+01
8.020050125313282763e-02,2.315297878884405591e+01
8.270676691729322849e-02,2.184122012072707975e+01
8.521303258145362935e-02,2.052427669251499154e+01
8.771929824561403022e-02,1.920249980935965084e+01
9.022556390977443108e-02,1.787624170441533167e+01
9.273182957393483195e-02,1.654585542606377047e+01
9.523809523809523281e-02,1.521169472530214151e+01
9.774436090225563367e-02,1.387411394334979420e+01
1.002506265664160345e-01,1.253346789952849250e+01
1.027568922305764354e-01,1.119011177946937963e+01
1.052631578947368363e-01,9.844401023701044195e+00
1.077694235588972371e-01,8.496691216669711721e+00
1.102756892230576380e-01,7.147337976244528157e+00
1.127819548872180389e-01,5.796696843757979778e+00
1.152882205513784397e-01,4.445123174631393503e+00
1.177944862155388406e-01,3.092972029635112641e+00
1.203007518796992414e-01,1.740598066830740809e+00
1.228070175438596423e-01,3.883554342429007544e-01
1.253132832080200432e-01,-9.634023366935803301e-01
1.278195488721804440e-01,-2.314322436865893895e+00
1.303258145363408449e-01,-3.664052884350874173e+00
1.328320802005012458e-01,-5.012242628375664921e+00
1.353383458646616466e-01,-6.358541652329231297e+00
1.378446115288220475e-01,-7.702601075784150986e+00
1.403508771929824483e-01,-9.044073255489662344e+00
1.428571428571428492e-01,-1.038261188529768297e+01
1.453634085213032501e-01,-1.171787209498447702e+01
1.478696741854636509e-01,-1.304951054793249909e+01
1.503759398496240518e-01,-1.437718553763817120e+01
1.528822055137844527e-01,-1.570055708301195985e+01
1.553884711779448535e-01,-1.701928702243865743e+01
1.578947368421052544e-01,-1.833303910656774249e+01
1.604010025062656553e-01,-1.964147908980437052e+01
1.629072681704260561e-01,-2.094427482047184697e+01
1.654135338345864570e-01,-2.224109632962029792e+01
1.679197994987468578e-01,-2.353161591845528733e+01
1.704260651629072587e-01,-2.481550824436201097e+01
1.729323308270676596e-01,-2.609245040550240091e+01
1.754385964912280604e-01,-2.736212202396407278e+01
1.779448621553884613e-01,-2.862420532744003054e+01
1.804511278195488622e-01,-2.987838522942063690e+01
1.829573934837092630e-01,-3.112434940788006088e+01
1.854636591478696639e-01,-3.236178838244115497e+01
1.879699248120300648e-01,-3.359039559000324715e+01
1.904761904761904656e-01,-3.480986745881877198e+01
1.929824561403508665e-01,-3.601990348100736838e+01
1.954887218045112673e-01,-3.722020628349483218e+01
1.979949874686716682e-01,-3.841048169736747298e+01
2.005012531328320691e-01,-3.959043882563294403e+01
2.030075187969924699e-01,-4.075979010938002745e+01
2.055137844611528708e-01,-4.191825139233063879e+01
2.080200501253132717e-01,-4.306554198377870080e+01
2.105263157894736725e-01,-4.420138471991252516e+01
2.130325814536340734e-01,-4.532550602351636115e+01
2.155388471177944743e-01,-4.643763596205086230e+01
2.180451127819548751e-01,-4.753750830410987049e+01
2.205513784461152760e-01,-4.862486057425545738e+01
2.230576441102756768e-01,-4.969943410623146463e+01
2.255639097744360777e-01,-5.076097409455816489e+01
