star_x_au,star_z_au,planet_x_au,planet_z_au
9.311280725490582390e-06,2.017072561902266039e-05,-2.231186004062867684e-02,-4.833345918757542964e-02
8.992621360148956325e-06,2.031548037814624564e-05,-2.154828268003274733e-02,-4.868032317127410358e-02
8.671733514207133163e-06,2.045520071784730082e-05,-2.077936539373585051e-02,-4.901512358768781580e-02
8.348696891756862107e-06,2.058985244835867556e-05,-2.000529917013070882e-02,-4.933777851067532721e-02
8.023591717820284552e-06,2.071940264703576190e-05,-1.922627624587288850e-02,-4.964820905039750432e-02
7.696498718040823314e-06,2.084381966617799995e-05,-1.844249005721576573e-02,-4.994633937205930629e-02
7.367499098260405973e-06,2.096307314051980343e-05,-1.765413519107312049e-02,-5.023209671385966274e-02
7.036674523988615266e-06,2.107713399438928241e-05,-1.686140733582270484e-02,-5.050541140414533531e-02
6.704107099769259575e-06,2.118597444853344500e-05,-1.606450323186404266e-02,-5.076621687776562003e-02
6.369879348449958974e-06,2.128956802660851959e-05,-1.526362062194387345e-02,-5.101444969162455961e-02
6.034074190360337277e-06,2.138788956133414726e-05,-1.445895820126252840e-02,-5.125004953942771668e-02
5.696774922404400327e-06,2.148091520031032291e-05,-1.365071556737470701e-02,-5.147295926562085039e-02
5.358065197072686712e-06,2.156862241149604508e-05,-1.283909316989803595e-02,-5.168312487851795672e-02
5.018029001379828762e-06,2.165098998834876962e-05,-1.202429226004283515e-02,-5.188049556261650069e-02
4.676750635733093913e-06,2.172799805462373568e-05,-1.120651483997656822e-02,-5.206502369009771702e-02
4.334314692737562077e-06,2.179962806883255398e-05,-1.038596361203639185e-02,-5.223666483151021694e-02
3.990806035943524349e-06,2.186586282836024437e-05,-9.562841927803296740e-03,-5.239537776563547855e-02
3.646309778541722708e-06,2.192668647324034307e-05,-8.737353737051277436e-03,-5.254112448853372197e-02
3.300911262012071498e-06,2.198208448958745965e-05,-7.909703536584969732e-03,-5.267387022176906602e-02
2.954696034731419376e-06,2.203204371268705668e-05,-7.080096318979212967e-03,-5.279358341981337660e-02
2.607749830546004380e-06,2.207655232974205917e-05,-6.248737521233962977e-03,-5.290023577662768262e-02
2.260158547314167968e-06,2.211559988227624948e-05,-5.415832973357962571e-03,-5.299380223142127755e-02
1.912008225424926518e-06,2.214917726819427184e-05,-4.581588846894539026e-03,-5.307426097358788897e-02
1.563385026297975849e-06,2.217727674349829366e-05,-3.746211603402943222e-03,-5.314159344681920749e-02
1.214375210870694218e-06,2.219989192366141189e-05,-2.909907942908496279e-03,-5.319578435239588621e-02
8.650651180776880375e-07,2.221701778465806856e-05,-2.072884752334898904e-03,-5.323682165165662811e-02
5.155411433284260534e-07,2.222865066365170943e-05,-1.235349053931939596e-03,-5.326469656764590971e-02
1.658897169884710520e-07,2.223478825934001427e-05,-3.975079537118370032e-04,-5.327940358594132619e-02
-1.838027171301859206e-07,2.223542963195834936e-05,4.404314100926155990e-04,-5.328094045466175155e-02
-5.334497232642110730e-07,2.223057520294177090e-05,1.278261918534963088e-03,-5.326930818365755577e-02
-8.829648951739747261e-07,2.222022675424645667e-05,2.115776523413987267e-03,-5.324451104288449588e-02
-1.232261877593123522e-06,2.220438742733113884e-05,2.952768298671559852e-03,-5.320655655996304328e-02
-1.581254387647268730e-06,2.218306172179943542e-05,3.789030491716494867e-03,-5.315545551692516663e-02
-1.929856236236404780e-06,2.215625549370401246e-05,4.624356574661487272e-03,-5.309122194615065876e-02
-2.277981349375703625e-06,2.212397595351355922e-05,5.458540295460304233e-03,-5.301387312549556141e-02
-2.625543789489346204e-06,2.208623166374359980e-05,6.291375728932470032e-03,-5.292342957261514380e-02
-2.972457776652109975e-06,2.204303253625240818e-05,7.122657327662728667e-03,-5.281991503848430108e-02
-3.318637709773429778e-06,2.199438982920327363e-05,7.952179972762676158e-03,-5.270335650011841871e-02
-3.663998187718699701e-06,2.194031614369432946e-05,8.779739024482010115e-03,-5.257378415249779058e-02
-4.008454030362624266e-06,2.188082542005753058e-05,9.605130372656959029e-03,-5.243123139969912277e-02
-4.351920299569445686e-06,2.181593293382817262e-05,1.042815048698346979e-02,-5.227573484523758557e-02
-4.694312320094916716e-06,2.174565529138652796e-05,1.124859646710291150e-02,-5.210733428162329928e-02
-5.035545700404936464e-06,2.167001042527332997e-05,1.206626609248804931e-02,-5.192607267913619540e-02
-5.375536353405781805e-06,2.158901758918077256e-05,1.288095787211723103e-02,-5.173199617382328447e-02
-5.714200517080947059e-06,2.150269735262086128e-05,1.369247109392472510e-02,-5.152515405472293808e-02
-6.051454775029591471e-06,2.141107159527299984e-05,1.450060587401532861e-02,-5.130559875032044553e-02
-6.387216076901669850e-06,2.131416350101277034e-05,1.530516320563142865e-02,-5.107338581423968848e-02
-6.721401758724893713e-06,2.121199755162394697e-05,1.610594500786078492e-02,-5.082857391017576304e-02
-7.053929563118627081e-06,2.110459952019590123e-05,1.690275417407347686e-02,-5.057122479607358695e-02
-7.384717659389962533e-06,2.099199646420841820e-05,1.769539462007647945e-02,-5.030140330755784178e-02
-7.713684663507206185e-06,2.087421671830641740e-05,1.848367133197447582e-02,-5.001917734061944731e-02
-8.040749657946087494e-06,2.075128988676665524e-05,1.926739041372569489e-02,-4.972461783356424414e-02
-8.365832211403990322e-06,2.062324683565899410e-05,2.004635913438155767e-02,-4.941779874822960217e-02
-8.688852398377668542e-06,2.049011968470456916e-05,2.082038597499909216e-02,-4.909879705047483917e-02
-9.009730818599834945e-06,2.035194179883339415e-05,2.158928067521529229e-02,-4.876769268995140988e-02
-9.328388616330123166e-06,2.020874777944405866e-05,2.235285427947246439e-02,-4.842456857915928420e-02
-9.644747499496012961e-06,2.006057345536811268e-05,2.311091918288402450e-02,-4.806951057179550957e-02
-9.958729758679246515e-06,1.990745587354182485e-05,2.386328917673012986e-02,-4.770260744040188267e-02
-1.027025828594343963e-05,1.974943328938817753e-05,2.460977949357273653e-02,-4.732395085331795453e-02
-1.057925659349857806e-05,1.958654515691184654e-05,2.535020685197977505e-02,-4.693363535094652317e-02
-1.088564883219812494e-05,1.941883211851013337e-05,2.608438950084831370e-02,-4.653175832133839979e-02
-1.118935980986462770e-05,1.924633599450272653e-05,2.681214726331664425e-02,-4.611841997510339464e-02
-1.149031500943959109e-05,1.906909977238338883e-05,2.753330158025538849e-02,-4.569372331965505102e-02
-1.178844060695363691e-05,1.888716759579655536e-05,2.824767555332789726e-02,-4.525777413279617745e-02
-1.208366348931287453e-05,1.870058475324203057e-05,2.895509398761028988e-02,-4.481068093565278299e-02
-1.237591127189754690e-05,1.850939766651091162e-05,2.965538343376161387e-02,-4.435255496496408323e-02
-1.266511231596902514e-05,1.831365387885598722e-05,3.034837222973484072e-02,-4.388351014473620970e-02
-1.295119574588134869e-05,1.811340204289992219e-05,3.103389054201947939e-02,-4.340366305726744978e-02
-1.323409146609348556e-05,1.790869190828446334e-05,3.171177040640660305e-02,-4.291313291355323967e-02
-1.351373017797859451e-05,1.769957430906415321e-05,3.238184576826758088e-02,-4.241204152307859188e-02
-1.379004339642667715e-05,1.748610115084789894e-05,3.304395252233759128e-02,-4.190051326300660295e-02
-1.406296346623690676e-05,1.726832539769193700e-05,3.369792855199526399e-02,-4.137867504677106983e-02
-1.433242357829620485e-05,1.704630105874764632e-05,3.434361376803006516e-02,-4.084665629208176357e-02
-1.459835778554050139e-05,1.682008317466782477e-05,3.498085014688896016e-02,-4.030458888835087433e-02
-1.486070101869530898e-05,1.658972780377499016e-05,3.560948176839426327e-02,-3.975260716354930141e-02
