phase,model_velocity_ms
0.000000000000000000e+00,5.645716964925517800e+01
2.506265664160400863e-03,5.599186248218593676e+01
5.012531328320801727e-03,5.551393119688690092e+01
7.518796992481202590e-03,5.502350588571574974e+01
1.002506265664160345e-02,5.452072031137264219e+01
1.253132832080200432e-02,5.400571186055425699e+01
1.503759398496240518e-02,5.347862149608489801e+01
1.754385964912280604e-02,5.293959370755172245e+01
2.005012531328320691e-02,5.238877646047458825e+01
2.255639097744360777e-02,5.182632114404016477e+01
2.506265664160400863e-02,5.125238251743347462e+01
2.756892230576440950e-02,5.066711865479867072e+01
3.007518796992481036e-02,5.007069088886368036e+01
3.258145363408521122e-02,4.946326375326225389e+01
3.508771929824561209e-02,4.884500492359086365e+01
3.759398496240601295e-02,4.821608515723571031e+01
4.010025062656641381e-02,4.757667823200833368e+01
4.260651629072681468e-02,4.692696088362663431e+01
4.511278195488721554e-02,4.626711274208227564e+01
4.761904761904761640e-02,4.559731626693250917e+01
5.012531328320801727e-02,4.491775668155830203e+01
5.263157894736841813e-02,4.422862190642787539e+01
5.513784461152881899e-02,4.353010249140963595e+01
5.764411027568921986e-02,4.282239154717461815e+01
6.015037593984962072e-02,4.210568467573274631e+01
6.265664160401002158e-02,4.138017990014402869e+01
6.516290726817042245e-02,4.064607759345027205e+01
6.766917293233082331e-02,3.990358040686962227e+01
7.017543859649122417e-02,3.915289319729913586e+01
7.268170426065162504e-02,3.839422295416795805e+01
7.518796992481202590e-02,3.762777872568806004e+01
7.769423558897242676e-02,3.685377154454529602e+01
8.020050125313282763e-02,3.607241435307695099e+01
8.270676691729322849e-02,3.528392192797882387e+01
8.521303258145362935e-02,3.448851080458904050e+01
8.771929824561403022e-02,3.368639920079149874e+01
9.022556390977443108e-02,3.287780694058528752e+01
9.273182957393483195e-02,3.206295537736231438e+01
9.523809523809523281e-02,3.124206731694072303e+01
9.774436090225563367e-02,3.041536694039571742e+01
1.002506265664160345e-01,2.958307972673293662e+01
1.027568922305764354e-01,2.874543237544843421e+01
1.052631578947368363e-01,2.790265272901658022e+01
1.077694235588972371e-01,2.705496969535147400e+01
1.102756892230576380e-01,2.620261317028241166e+01
1.127819548872180389e-01,2.534581396008668719e+01
1.152882205513784397e-01,2.448480370411942175e+01
1.177944862155388406e-01,2.361981479758383173e+01
1.203007518796992414e-01,2.275108031448046475e+01
1.228070175438596423e-01,2.187883393077643035e+01
1.253132832080200432e-01,2.100330984783210653e+01
1.278195488721804440e-01,2.012474271612589760e+01
1.303258145363408449e-01,1.924336755931324205e+01
1.328320802005012458e-01,1.835941969865810819e+01
1.353383458646616466e-01,1.747313467787127195e+01
1.378446115288220475e-01,1.658474818839345488e+01
1.403508771929824483e-01,1.569449599515592908e+01
1.428571428571428492e-01,1.480261386285408420e+01
1.453634085213032501e-01,1.390933748276446735e+01
1.478696741854636509e-01,1.301490240014051025e+01
1.503759398496240518e-01,1.211954394221561238e+01
1.528822055137844527e-01,1.122349714684583333e+01
1.553884711779448535e-01,1.032699669181889490e+01
1.578947368421052544e-01,9.430276824861145712e+00
1.604010025062656553e-01,8.533571294367300553e+00
1.629072681704260561e-01,7.637113280881442812e+00
1.654135338345864570e-01,6.741135329352241357e+00
1.679197994987468578e-01,5.845869282189751104e+00
1.704260651629072587e-01,4.951546213145247677e+00
1.729323308270676596e-01,4.058396362038001470e+00
1.754385964912280604e-01,3.166649070348396044e+00
1.779448621553884613e-01,2.276532717700527897e+00
1.804511278195488622e-01,1.388274659251806931e+00
1.829573934837092630e-01,5.021011640086525674e-01
1.854636591478696639e-01,-3.817626459139269457e-01
1.879699248120300648e-01,-1.263092855073887577e+00
1.904761904761904656e-01,-2.141666813507413281e+00
1.929824561403508665e-01,-3.017263194544959504e+00
1.954887218045112673e-01,-3.889662051623849592e+00
1.979949874686716682e-01,-4.758644874086469301e+00
2.005012531328320691e-01,-5.623994641950414319e+00
2.030075187969924699e-01,-6.485495879642114048e+00
2.055137844611528708e-01,-7.342934708682859579e+00
2.080200501253132717e-01,-8.196098899321169640e+00
2.105263157894736725e-01,-9.044777921100550344e+00
2.130325814536340734e-01,-9.888762992359172443e+00
2.155388471177944743e-01,-1.072784712865319179e+01
2.180451127819548751e-01,-1.156182519010176080e+01
2.205513784461152760e-01,-1.239049392764673740e+01
2.230576441102756768e-01,-1.321365202822634899e+01
2.255639097744360777e-01,-1.403110015885898321e+01
2.280701754385964786e-01,-1.484264100963810762e+01
2.305764411027568794e-01,-1.564807933563489684e+01
2.330827067669172803e-01,-1.644722199771090487e+01
2.355889724310776812e-01,-1.723987800224090350e+01
2.380952380952380820e-01,-1.802585853974889574e+01
2.406015037593984829e-01,-1.880497702245824954e+01
2.431077694235588837e-01,-1.957704912076052395e+01
2.456140350877192846e-01,-2.034189279860663291e+01
2.481203007518796855e-01,-2.109932834782468447e+01
2.506265664160400863e-01,-2.184917842137124211e+01
2.531328320802004872e-01,-2.259126806552013988e+01
2.556390977443608881e-01,-2.332542475099634061e+01
2.581453634085212889e-01,-2.405147840306349494e+01
2.606516290726816898e-01,-2.476926143057004381e+01
2.631578947368420907e-01,-2.547860875396517244e+01
2.656641604010024915e-01,-2.617935783229173197e+01
2.681704260651628924e-01,-2.687134868916576735e+01
2.706766917293232932e-01,-2.755442393775423326e+01
2.731829573934836941e-01,-2.822842880475851857e+01
2.756892230576440950e-01,-2.889321115341644131e+01
2.781954887218044958e-01,-2.954862150553435995e+01
2.807017543859648967e-01,-3.019451306255919221e+01
2.832080200501252976e-01,-3.083074172570396243e+01
