time_days,radial_velocity_ms,uncertainty_ms
5.999999999999999778e-01,-2.020601235644084070e+01,1.000000000000000000e+00
6.999999999999999556e-01,-8.094396472116308416e+00,1.000000000000000000e+00
8.000000000000000444e-01,5.606118924214150923e+00,1.000000000000000000e+00
1.600000000000000089e+00,5.636097680385325503e+01,1.000000000000000000e+00
1.699999999999999956e+00,6.685371068757393687e+01,1.000000000000000000e+00
3.600000000000000089e+00,-3.507571964941497811e+01,1.000000000000000000e+00
3.700000000000000178e+00,-4.257053204643764133e+01,1.000000000000000000e+00
4.599999999999999645e+00,-3.357675719168075545e+01,1.000000000000000000e+00
4.700000000000000178e+00,-2.749096966606794012e+01,1.000000000000000000e+00
4.799999999999999822e+00,-2.269428993703236586e+01,1.000000000000000000e+00
5.599999999999999645e+00,4.526865776842513611e+01,1.000000000000000000e+00
5.700000000000000178e+00,4.766699705379759422e+01,1.000000000000000000e+00
5.799999999999999822e+00,5.606118436690321971e+01,1.000000000000000000e+00
6.599999999999999645e+00,6.535474873488971070e+01,1.000000000000000000e+00
6.700000000000000178e+00,6.235682475126876056e+01,1.000000000000000000e+00
7.700000000000000178e+00,-2.260435219524311989e+01,1.000000000000000000e+00
7.799999999999999822e+00,-3.177800223555907522e+01,1.000000000000000000e+00
8.599999999999999645e+00,-4.406949454418412415e+01,1.000000000000000000e+00
8.699999999999999289e+00,-3.717426711875381784e+01,1.000000000000000000e+00
8.800000000000000711e+00,-3.537551213610385048e+01,1.000000000000000000e+00
9.599999999999999645e+00,2.509262771201091269e+01,1.000000000000000000e+00
9.699999999999999289e+00,3.567530040961918303e+01,1.000000000000000000e+00
9.800000000000000711e+00,4.107156395164998486e+01,1.000000000000000000e+00
1.059999999999999964e+01,6.115765518097236964e+01,1.000000000000000000e+00
1.069999999999999929e+01,5.696056160938734791e+01,1.000000000000000000e+00
1.080000000000000071e+01,5.096471354597221648e+01,1.000000000000000000e+00
1.169999999999999929e+01,-2.500269111101719233e+00,1.000000000000000000e+00
1.180000000000000071e+01,-4.586824657690199203e+00,1.000000000000000000e+00
1.259999999999999964e+01,-3.837343708589518343e+01,1.000000000000000000e+00
1.269999999999999929e+01,-4.856638212736132232e+01,1.000000000000000000e+00
1.369999999999999929e+01,1.759781677571588432e+01,1.000000000000000000e+00
1.380000000000000071e+01,2.701130046033426435e+00,1.000000000000000000e+00
