time_days,radial_velocity_ms,uncertainty_ms
0.000000000000000000e+00,7.999798893019141044e-01,1.000000000000000000e+00
1.798439999995753169e+01,-2.239943650367861494e+01,1.000000000000000000e+00
5.198380000004544854e+01,-5.609858872682713837e+01,1.000000000000000000e+00
3.679934000000357628e+02,-4.649883020578045034e+01,1.000000000000000000e+00
4.068980999998748302e+02,-2.899927026337205671e+00,1.000000000000000000e+00
4.379095999998971820e+02,-9.099771067010042458e+00,1.000000000000000000e+00
4.857590000000782311e+02,3.139921009629387427e+01,1.000000000000000000e+00
5.057555999998003244e+02,4.409889056198770874e+01,1.000000000000000000e+00
5.167538000000640750e+02,3.319916474708841747e+01,1.000000000000000000e+00
5.197450999999418855e+02,3.059923023716215695e+01,1.000000000000000000e+00
5.882028000000864267e+02,9.479761508418071969e+01,1.000000000000000000e+00
6.111491999998688698e+02,8.639782647482634559e+01,1.000000000000000000e+00
6.421716000000014901e+02,9.919750443574736209e+01,1.000000000000000000e+00
7.119739999999292195e+02,1.437963824648682873e+02,1.000000000000000000e+00
7.569646999998949468e+02,1.295967397099730078e+02,1.000000000000000000e+00
7.599649999998509884e+02,1.219969308952451286e+02,1.000000000000000000e+00
7.957821999997831881e+02,9.569759249760635100e+01,1.000000000000000000e+00
8.008125999998301268e+02,9.509760757811207554e+01,1.000000000000000000e+00
8.167801999999210238e+02,8.859777110697251601e+01,1.000000000000000000e+00
8.218050999999977648e+02,8.179794220015730843e+01,1.000000000000000000e+00
8.427763999998569489e+02,8.729780383883344541e+01,1.000000000000000000e+00
8.457339999997057021e+02,9.399763526384673185e+01,1.000000000000000000e+00
8.508671999997459352e+02,6.749830191382146438e+01,1.000000000000000000e+00
8.737344999997876585e+02,8.189793964030610596e+01,1.000000000000000000e+00
8.757642000000923872e+02,7.729805536068293748e+01,1.000000000000000000e+00
9.392283000000752509e+02,2.649933330057239544e+01,1.000000000000000000e+00
9.592009999998845160e+02,-8.999773599505996202e+00,1.000000000000000000e+00
9.851765999998897314e+02,-5.149870443089099581e+01,1.000000000000000000e+00
1.006120099999941885e+03,-5.329865915015389533e+01,1.000000000000000000e+00
1.031150899999774992e+03,-4.219893840671846164e+01,1.000000000000000000e+00
1.038157399999909103e+03,-4.389889562337506845e+01,1.000000000000000000e+00
1.089989999999757856e+03,-1.105972176395544153e+02,1.000000000000000000e+00
1.145956199999898672e+03,-9.419763022825723908e+01,1.000000000000000000e+00
1.166804500000085682e+03,-1.237968855842728715e+02,1.000000000000000000e+00
1.203758799999952316e+03,-1.187970113939655334e+02,1.000000000000000000e+00
1.230778899999801069e+03,-1.343966189386617600e+02,1.000000000000000000e+00
1.237737600000109524e+03,-1.325966642274426590e+02,1.000000000000000000e+00
1.251739699999801815e+03,-1.220969283435190675e+02,1.000000000000000000e+00
1.326201200000010431e+03,-8.279791701789523017e+01,1.000000000000000000e+00
1.344190899999812245e+03,-9.039772581723124745e+01,1.000000000000000000e+00
1.364148699999786913e+03,-6.969824656350162684e+01,1.000000000000000000e+00
1.401076899999752641e+03,-4.529886041723551671e+01,1.000000000000000000e+00
1.449129299999680370e+03,9.999746143348568761e-02,1.000000000000000000e+00
1.473068999999668449e+03,2.989924781531509623e+01,1.000000000000000000e+00
1.528901699999812990e+03,5.109871450280997607e+01,1.000000000000000000e+00
1.559852799999993294e+03,6.989824158658571207e+01,1.000000000000000000e+00
1.599757100000046194e+03,8.749779877829354291e+01,1.000000000000000000e+00
1.706176299999933690e+03,9.339765033754808599e+01,1.000000000000000000e+00
1.727172999999951571e+03,8.159794721980868815e+01,1.000000000000000000e+00
1.765088999999687076e+03,1.008974616438194118e+02,1.000000000000000000e+00
1.772123900000005960e+03,1.018974365139956717e+02,1.000000000000000000e+00
