time_days,radial_velocity_ms,uncertainty_ms
0.000000000000000000e+00,1.630000000000000071e+01,7.900000000000000355e+00
3.270859000002965331e+02,-6.999999999999999556e-01,7.099999999999999645e+00
3.829035000000149012e+02,1.180000000000000071e+01,6.599999999999999645e+00
7.989951000004075468e+02,-5.299999999999999822e+00,8.900000000000000355e+00
1.066104600000195205e+03,-1.699999999999999956e+00,9.300000000000000711e+00
1.151862900000065565e+03,-1.130000000000000071e+01,8.400000000000000355e+00
1.597825400000438094e+03,-1.000000000000000000e+00,1.100000000000000000e+01
1.798085000000428408e+03,1.830000000000000071e+01,7.200000000000000178e+00
1.799128500000108033e+03,2.950000000000000000e+01,6.200000000000000178e+00
1.858006600000429899e+03,2.200000000000000000e+01,7.000000000000000000e+00
1.943882900000084192e+03,-8.199999999999999289e+00,7.000000000000000000e+00
2.258823395000305027e+03,-2.030000000000000071e+01,6.000000000000000000e+00
2.301791800000239164e+03,4.299999999999999822e+00,9.199999999999999289e+00
2.541060234000440687e+03,2.250000000000000000e+01,6.299999999999999822e+00
2.556034205000381917e+03,6.200000000000000178e+00,6.099999999999999645e+00
2.574980900000315160e+03,-1.300000000000000000e+01,8.599999999999999645e+00
2.632826900000218302e+03,1.500000000000000000e+01,4.599999999999999645e+00
2.957074357000179589e+03,-7.799999999999999822e+00,3.299999999999999822e+00
3.024841649000067264e+03,-2.010000000000000142e+01,3.399999999999999911e+00
3.039824184000026435e+03,9.599999999999999645e+00,3.299999999999999822e+00
3.073772388000041246e+03,-2.200000000000000178e+00,4.500000000000000000e+00
3.076776783000212163e+03,-1.059999999999999964e+01,4.700000000000000178e+00
3.077768689000047743e+03,-1.330000000000000071e+01,3.799999999999999822e+00
3.078775389000307769e+03,-5.500000000000000000e+00,4.400000000000000355e+00
3.079797873000148684e+03,-8.400000000000000355e+00,4.599999999999999645e+00
3.080779176000040025e+03,-1.350000000000000000e+01,4.000000000000000000e+00
3.251134653000161052e+03,6.400000000000000355e+00,2.299999999999999822e+00
3.252151533000171185e+03,-9.000000000000000222e-01,2.799999999999999822e+00
3.253026742000132799e+03,5.299999999999999822e+00,2.899999999999999911e+00
3.257065387000329792e+03,3.000000000000000000e+00,2.799999999999999822e+00
